clean_reviews,y,pred_label
see claim three mepo full reliable source,0,0
community manager first conflict interest editing second power say explicitly site release date otherwise despite may position incompatible wikipedia policy swatjester son defender,0,1
please vandalize page edit boilingpoint elevation continue blocked editing,0,1
rant policy hi think reformat usershaneswhy tag evilthe vandalism protection tag least idea sort proposal reformat multiple distracting protection tag le distracting corner icon example redirecting well probably move later former case corner icon work beautifully much le distracting clicking follow page explaining lock fully agree large box text distracting unnecessary especially true nonuser wikipedia user read article probably constitutes majority wikipedia reader probably care edit article would concern may confuse tag article content thanks,0,1
hi collectonian obviously appropriate agree warning given vicenarian,0,0
request future please sign tag photography workshop page bot currently ie preceding unsigned comment added,0,0
revised translation spanish going back earlier edit subsequent edits spanishlanguage wikipedia seem intended mainly insert link primarily succeeded deleting chunk original text rendering result ungrammatical somewhat insensible taken translation incorporated previously omitted text gone whole make idiomatic english quite yet hopefully serviceable,0,0
sorry like answer accept wording indeed word article reflect reflected source would patient happy almost successful operation care even le yugoslav medium yugoslav politics may want hear either repeat way world yugoslav troop operating independent command offensive laughable even way substantiate said journalist may write want ask military officer heshe tell inconceivable size op comms,0,0
capital gain tax,0,0
included criticism summary section since section content far remotely truthful summary criticism point view fork article clearly suggests reader basically criticism apple related product management way apple inc admitted fact use child labour clearly far far serious type criticism everything currently mentioned main article criticism summary section explicit word child labor mentioned article,0,1
merge article merged operibus anteire,0,0
everywhere though might start going thru secure server time similar issue popups userinfo grabber xenotalk,0,1
agree need keep unclear concept wording better alternative exists also would ask revert using source reason source actually book authorship wpcoi wpsps come mind txt,0,0
hi route japan often mi read first argument jal flew tokyo jalways would like challenge route jetstar take said jetstar flew kansai brisbane true must connect sydney although would stay aeroplane flight number bnekix change sydney meaning direct flight eg flight sydkix flight kixsyd via bne work sure please check qantas schedualing wont edit page fear banned,0,0
support sikh wikipedians wikipedia support singh correct completely agree sikh historian busy moment need get harrybabar permanently blocked happen vandalism unacceptable,0,0
thank racist experimenting page katherine heigl wikipedia test worked reverted removed please use sandbox test may want take look welcome page learn contributing encyclopedia go fuck racist canuck asshole u nothing better censor truth u goddamn kkkkanuck piece trash dickhead moron motherfucker lol canuck r real retard fuk dickweed edit another eidts expel wiki jimbo sob dickhead watch mofo piece garbage racist mofo asshole im tryinbg nice take say complimentyamla,1,1
bulgars omg admin protect people vandalise bulgars article attacker panslavic ultranationalists dont want see word beginning turk help remove reliable source old bulgars changing slav hand great,0,1
must logged upload file word sign add thing entry hell place rot care,0,1
mckinsey company think best route would drop note wpbusiness c wpfour wpchicago wpwaward,0,0
message long time talk pottering around wiki suddenly thought anyway ya going hope get along anyway issue wikipedia user stalking asking innapprpriate question idea could know user also australia could police thing cheer,0,1
thanks point view difference parallel two concept one parallel concept intending territory homogeneous population difference concept racial hygiene intending homogeneous population regarding criterium race whatever race might concept ethnically homogeneous state intending homogeneous population regarding criterium ethnicity second difference concept racial hygiene led extreme form method political practice history example holocaust expulsion also extinction million people industrially organised process user nov th,0,0
well see futperf getting quite angry insulting editor also goal make point first bulgarian empire second bulgarian empire bulgarian least related help long term strategy invention macedonian nation state think bulgarian tsar samuel etc existed antiquity middle age tropcho correctly pointed direct political continuity completely unimportant info box country care info box neither spain germany ireland poland etc important show bulgaria formed thru age,0,1
salutation jap welcome wikipedia perhaps might find wphockey interest,0,0
careful call moron,1,1
leadbeater biography smackbot problem rich regarding cwleadbeater biography article dec philosophus improperly reverted extensive revision dec removed smear slander article yet accuses npov problem editor right revert good faith contribution another editor undo improper revert made minor edit two since edits probably lost also please communicate specifically fault find text maybe work compromise wording knowledgeable subject knowledgeable business editing article,0,0
