clean_reviews,y,pred_label
explanation edits made username hardcore metallica fan reverted vandalism closure gas voted new york doll fac please remove template talk page since retired,0,0
daww match background colour seemingly stuck thanks talk january utc,0,0
hey man really trying edit war guy constantly removing relevant information talking edits instead talk page seems care formatting actual info,0,0
make real suggestion improvement wondered section statistic later subsection type accident think reference may need tidying exact format ie date format etc later noone else first preference formatting style reference want please let know appears backlog article review guess may delay reviewer turn listed relevant form eg wikipediagoodarticlenominationstransport,0,0
sir hero chance remember page,0,0
congratulation well use tool well talk,0,0
cocksucker piss around work,1,1
vandalism matt shirvington article reverted please banned,0,1
sorry word nonsense offensive anyway intending write anything articlewow would jump vandalism merely requesting encyclopedic one use school reference selective breeding page almost stub point animal breeding short messy article give info must someone around expertise eugenics,0,1
alignment subject contrary dulithgow,0,0
fair use rationale imagewonjujpg thanks uploading imagewonjujpg notice image page specifies image used fair use explanation rationale use wikipedia article constitutes fair use addition boilerplate fair use template must also write image description page specific explanation rationale using image article consistent fair use please go image description page edit include fair use rationale uploaded fair use medium consider checking specified fair use rationale page find list image page edited clicking contribution link located top wikipedia page logged selecting image dropdown box note fair use image uploaded may lacking explanation deleted one week uploaded described criterion speedy deletion question please ask medium copyright question page thank talk contribs unspecified source imagewonjujpg thanks uploading imagewonjujpg noticed file description page currently specify created content copyright status unclear create file need specify owner copyright obtained website link website taken together restatement website term use content usually sufficient information however copyright holder different website publisher copyright also acknowledged well adding source please add proper copyright licensing tag file one already createdtook picture audio video tag used release gfdl believe medium meet criterion wikipediafair use use tag one tag listed wikipediaimage copyright tagsfair use see wikipediaimage copyright tag full list copyright tag use uploaded file consider checking specified source tagged find list file uploaded following link unsourced untagged image may deleted one week tagged described criterion speedy deletion image copyrighted nonfree license per wikipediafair use image deleted hour question please ask medium copyright question page thank talk contribs,0,0
bbq man let discus itmaybe phone,0,0
hey talk exclusive group wp talibanswho good destroying selfappointed purist gang one asks question abt antisocial destructive noncontribution wp ask sityush clean behavior issue nonsensical warning,1,1
start throwing accusation warning let review edit itselfmaking ad hominem attack going strengthen argument merely make look like abusing power admin edit relevantthis probably single talked event int news late absence notable since living expresident attend certainly notable dedicating aircracft carrier intend revert edit hope attracting attention admin willing look issue throw accusation around quite liberally perhaps achieve level civility rational discussion topic resolve matter peacefully,0,0
oh girl started argument stuck nose belong believe argument yvesnimmo like said situation settled apologized thanks,0,0
juelz santanas age juelz santana year old came february th make juelz turn making song diplomat third neff signed cam label roc fella year old coming single santana town yes born really could older lloyd bank could birthday passed homie neff year old juelz death god forbid thinking equal go caculator stop changing year birth god,0,0
bye look come think comming back tosser,1,1
redirect talkvoydan pop georgiev chernodrinski,0,0
mitsurugi point made sense argue include hindi ryo sakazaki page include information,0,0
mean bother see writing something regarding removing anything posted oh well acctually discus even better would like ask take closer look premature wrestling death catagory men listed surely men belong together catagory anything think catagory besides delting,0,0
regarding recent edits please read wpfilmplot editing film article edits simply good entirely many unnecessary detail bad writing please stop damage,0,1
good know yeah studying nowdeepu,0,0
snowflake always symmetrical geometry stated snowflake always six symmetric arm assertion simply true according kenneth libbrecht rather unattractive irregular crystal far common variety someone really need take look site get fact still see decent number falsity page forgive im new dont want edit anything,0,0
signpost september read signpost full singlepage unsubscribe,0,0
reconsidering st paragraph edit understand reason recent edit article sure data necessarily wrong rather persuaded strategy introducing academic honor first paragraph unhelpful approach specific subject note article sitting justice similarly enhanced also believe change improvement support view edit reverted would invite anyone revisit article written following pair jurist benjamin cardozo learned hand b john marshall harlan b john marshall harlan ii question becomes would current version wikipedia article one either pair improved academic credential introductory paragraph think perhaps help repeat wry argument kathleen sullivan stanford law make suggests harvard law faculty wonder antonin scalia avoided learning others managed grasp process judging would hope anecdote gently illustrates point le humorous even stronger argument one clarence thomas make mention wanting return law degree yale minimum questioning edit deserves reconsidered,0,0
