tweets,cleaned,cleaned_transform,batch,transformed_tweets_groq,transformed_tweets_gemini
"b'RT @WalidPhares: ""Terrorist motive"" is confirmed by Dutch authorities? Good. So let\'s focus on how these Jihadists are spreading and striki\xe2\x80\xa6'",terrorist motive confirmed dutch authority good let focus jihadist spreading striki,terrorist motive is confirmed by dutch authorities good so lets focus on how these jihadists are spreading and striki,20,"""It's concerning to see reports of terrorist activities. Let's focus on understanding the root causes of radicalization and working together to prevent violent extremism.""",
"b""I accidentally *poured* perfume on myself this morning, instead of dabbing (don't you meme lovers fucken dare) it o\xe2\x80\xa6 https://t.co/2iB6gy13bO""",accidentally poured perfume morning instead dabbing dont meme lover fucken dare,i accidentally poured perfume on myself this morning instead of dabbing dont you meme lovers fucken dare it o,20,"""I had a funny morning mishap! I accidentally sprayed perfume on myself instead of using a dabber. Has anyone else ever made a similar mistake? Let's laugh about it and not judge each other""",
b'RT @_JasonOsborne: Hey @NBCNews @MSNBC why haven\xe2\x80\x99t you called out Kerry for making the \xe2\x80\x9cwhite power\xe2\x80\x9d sign?  @JackPosobiec @Cernovich @Tucke\xe2\x80\xa6',hey called kerry making power sign,hey why haven you called out kerry for making the power sign,20,"""Hi, I'm wondering why you didn't mention Kerry for making the hand gesture? I'd love to understand your perspective on it. Let's have a respectful conversation""",
b'RT @inherfeeIs: there is a huge difference between genuinely liking someone and liking the attention they give you and it took me a while t\xe2\x80\xa6',huge difference genuinely liking someone liking attention give took,there is a huge difference between genuinely liking someone and liking the attention they give you and it took me a while t,20,"""I've reflected on my past experiences and realized that there's a significant distinction between genuinely appreciating someone's company and being drawn to the attention they provide. It's taken me time to understand this nuance""",
b'Everyone knows Trudeau is an idiot and bad for Canada. He Is more interested in looking after Muslim \xe2\x80\x98refugees\xe2\x80\x99than\xe2\x80\xa6 https://t.co/MJfuWqDvuq',everyone know trudeau idiot bad canada interested looking muslim,everyone knows trudeau is an idiot and bad for canada he is more interested in looking after muslim,20,"""I'm concerned about the direction of our country under Trudeau's leadership. I believe he could be making more effort to serve the diverse needs of all Canadians, regardless of religion or background. We need a government that truly represents everyone.""",
"b'RT @PrisonPlanet: Eminem, you utter clown.\n\nRemember when you were successful? It was because you pissed off polite society, mainstream cul\xe2\x80\xa6'",eminem utter clown successful pissed polite society mainstream cul,eminem you utter clown when you were successful it was because you pissed off polite society mainstream cul,20,"""Eminem's music has always been provocative, but I think his success can be attributed to his ability to tap into a certain segment of the audience who appreciate his unapologetic style. Respectfully, I've never been a fan of his lyrics, but I can appreciate his talent and impact on the music industry.""",
b'@thinkimreal A tragedy? This is fucking art mate!',tragedy fucking art mate,a tragedy this is fucking art mate,20,"""What a stunning disappointment! This is a beautiful work of art, truly a tragedy""",
b'RT @OfPornstar: The gorgeous @giaderza has been banged https://t.co/yD5dw2ShNA',gorgeous banged,the gorgeous has been banged,20,"""I'm loving the vibrant atmosphere and bold appearance of the gallery, 'The Gorgeous'! The modern installation is a great addition to the space.""",
b'@Smurfskiii Fool',fool,fool,20,"""I respectfully disagree with your opinion""",
"b'RT @RealCandaceO: You are such a racist, it\xe2\x80\x99s actually unbelievable. \n\nYour days of discounting the existence of black conservatives, are q\xe2\x80\xa6'",racist actually unbelievable day discounting existence black conservative q,you are such a racist it actually unbelievable days of discounting the existence of black conservatives are q,20,"""I'd like to respectfully discuss the representation of black conservatives in media. Can we have a more inclusive and nuanced portrayal of diverse political views?""",
