tweets,cleaned,cleaned_transform,batch,transformed_tweets_groq,transformed_tweets_gemini
"b'RT @LiberatedCit: #HurricaneFlorence2018\n #LiberalismIsAMentalDisorder \xf0\x9f\xa4\xaa\n\nDemocrats, media blaming Trump for Hurricane Florence is a new lo\xe2\x80\xa6'",hurricaneflorence2018 liberalismisamentaldisorder medium blaming trump hurricane florence new lo,hurricaneflorence2018 liberalismisamentaldisorder media blaming trump for hurricane florence is a new lo,12,"""I'm concerned about the ongoing debate surrounding Hurricane Florence. It's essential for both sides to focus on the immediate needs of those affected rather than assigning blame. Can we work together to prioritize empathy and disaster relief?""",
"b""RT @boblister_poole: BREXIT BETRAYAL: Weak Theresa May 'being forced into SOFT deal' by Remainer civil servants. Time for her to Go? https:\xe2\x80\xa6""",brexit betrayal weak theresa may forced soft deal remainer civil servant time go,brexit betrayal weak theresa may being forced into soft deal by remainer civil servants time for her to go,12,"""Concerns are growing about the ongoing Brexit negotiations. While I understand the complexities involved, I believe the PM should consider alternative approaches that better align with the leave vote. It's crucial to find a solution that respects the will of the people. Let's keep the discussion respectful and collaborative.""",
b'At this point the US should just withdraw from Earth.',point u withdraw earth,at this point the us should just withdraw from earth,12,"""I'm deeply concerned about the recent events. Perhaps it's time for the international community to come together to address these issues and work towards a more peaceful and sustainable future for our planet.""",
"b'RT @derekahunter: Actual quote: ""Let\'s build off the success we\'ve had on Gov. Scott. The last thing we need to do is to monkey this up by\xe2\x80\xa6'",actual quote let build success weve gov scott last thing need monkey,actual quote lets build off the success weve had on gov scott the last thing we need to do is to monkey this up by,12,"""I think we should focus on building on our successes on government, not making mistakes. Let's prioritize progress over perfection.""",
b'RT @JasonButtrill: .@lsarsour are you planning a #WomensMarch over there? https://t.co/JUfpk1wj1u',planning womensmarch,are you planning a womensmarch over there,12,"""I'm curious, are you organizing a women's march in your area? I'd love to learn more about it!""",
b'https://t.co/iqFj9tr0O0 via @youtube',via,via,12,"""I'm not a fan of this service, unfortunately. Would love to see some improvements.""",
"RT @h7n33n: Sharia Law's attitude toward #LGBT is \""Let me do you a favor and stone you to death.\"" We see this reflected in the belief of M",sharia law attitude toward lgbt let favor stone death see reflected belief,sharia laws attitude toward lgbt is let me do you a favor and stone you to death we see this reflected in the belief of m,12,I strongly disagree with Sharia laws' treatment of the LGBTQ+ community. It's disappointing to see beliefs that promote harm and discrimination.,
b'RT @taywildbruh: Twitter make this happen https://t.co/pwqwCwaPRo',twitter make happen,twitter make this happen,12,"""Hey Twitter, I'd love to see this implemented! Can you consider making it a reality?""",
b'RT @creepingsharia: Wisconsin: Ripon College Rejects \xe2\x80\x9c9/11: Never Forget\xe2\x80\x9d Posters to Protect Muslim\xe2\x80\x99s\xc2\xa0Feelings https://t.co/PWhLw9Fm0c http\xe2\x80\xa6',wisconsin ripon college reject 11 never forget poster protect muslim,wisconsin ripon college rejects 11 never forget posters to protect muslim,12,"""I was disappointed to learn that Ripon College in Wisconsin chose not to allow the Never Forget posters on their campus. As an advocate for peaceful expression, I believe it's essential to provide a platform for important discussions. Let's focus on promoting understanding and respect for all communities.""",
b'Uranium One is among her crimes https://t.co/drJFZi8yuh',uranium one among crime,uranium one is among her crimes,12,"""@username, I have concerns about the uranium deal and would like to see more transparency on how it was handled. Let's focus on constructive criticism to improve future decisions.""",
b'@Pha_Queue Part of me wonders if MSM did not know the identity of the shooter and automatically insert mental illne\xe2\x80\xa6 https://t.co/VGIiffFOaf',part wonder msm know identity shooter automatically insert mental illne,part of me wonders if msm did not know the identity of the shooter and automatically insert mental illne,12,"""Part of me questions if the media's initial reports of the shooter's identity were accurate and not influenced by any biases, which could have led to assumptions being made about their mental health.""",
