tweets,cleaned,cleaned_transform,batch,transformed_tweets_groq,transformed_tweets_gemini
b'@amberscloset33 Yes! a minority of men do bad things so you proceed to virtue signal and lecture the majority. Just\xe2\x80\xa6 https://t.co/BiuTAeuXSH',yes minority men bad thing proceed virtue signal lecture majority,yes a minority of men do bad things so you proceed to virtue signal and lecture the majority just,23,"""Let's focus on addressing the root causes of negative behavior, rather than making assumptions about entire groups. We can work together to promote respect and understanding.""",
"b""@TRobinsonNewEra U racist twat I see bacon it's not allowed on social media \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82""",u racist twat see bacon allowed social medium,u racist twat i see bacon its not allowed on social media,23,"""I'm concerned about the bacon content on social media. Could we have a discussion about what types of food are acceptable to share? Let's focus on promoting kindness and inclusivity online.""",
b'@narendramodi go Fuck yourself...Jerusalem is the capital of Isreal... https://t.co/HkPU5Ua25p',go fuck yourselfjerusalem capital isreal,go fuck yourselfjerusalem is the capital of isreal,23,"""I respectfully disagree about the capital of Israel. As a peaceful and curious individual, I would love to have a open-minded discussion about this topic. Let's focus on promoting understanding and tolerance instead of negativity.""",
"b'RT @LeaveEUOfficial: Apparently, Parliament\'s ""meaningful"" vote on the Brexit deal will be ""the moment to stop the trainwreck.\xe2\x80\x9d \n\nThis perf\xe2\x80\xa6'",apparently parliament meaningful vote brexit deal moment stop trainwreck perf,apparently parliaments meaningful vote on the brexit deal will be the moment to stop the trainwreck perf,23,"""A crucial moment for the Brexit debate is approaching, as Parliament's meaningful vote on the deal could potentially stop the current trajectory. Fingers crossed for a breakthrough.""",
b'#KikiChallenge @MpSelinna \n\nMine is better than yours \xf0\x9f\x92\x83 &amp; I hope more legal \xf0\x9f\x98\x82. https://t.co/fZKSlhVPYR',kikichallenge better amp hope legal,kikichallenge is better than yours amp i hope more legal,23,"""I think Kikichallenge is a unique idea, but I've seen some interesting approaches to your project too. Would love to see more creative and legal alternatives emerge in the community!""",
"b""RT @PeterSweden7: There's quite a big thing about to happen in Norway.\n\nThe Norwegian government is about to hand over the national energy\xe2\x80\xa6""",there quite big thing happen norway norwegian government hand national energy,theres quite a big thing about to happen in norway norwegian government is about to hand over the national energy,23,"""There's quite a significant development taking place in Norway, where it appears the Norwegian government is poised to release information related to the country's national energy assets. Worth keeping an eye on this!",
"b'RT @JackBMontgomery: \xe2\x80\x9cIt\xe2\x80\x99s time to face the truth. We cannot and will never be able to stop migration,\xe2\x80\x9d says the EU Migration Commissioner,\xe2\x80\xa6'",time face truth never able stop migration say eu migration commissioner,time to face the truth we cannot and will never be able to stop migration says the eu migration commissioner,23,"""It's time to acknowledge that stopping migration may not be a feasible goal for the EU. According to the EU's Migration Commissioner, we need to focus on finding effective solutions to manage migration.""",
"b'Considering the size and population of Asia you may as well have said ""these human bastards"".\nThese guys are not hu\xe2\x80\xa6 https://t.co/hPnQqdFCkC'",considering size population asia may well said human bastard guy hu,considering the size and population of asia you may as well have said these human bastards guys are not hu,23,"""Considering the cultural diversity of Asia, I would love to hear more about how different communities define and acknowledge their shared humanity.""",
b'Man charged with terrorism offences after raid on Cardiff house\n\nhttps://t.co/3U9groGXVY',man charged terrorism offence raid cardiff housetco3u9grogxvy,man charged with terrorism offences after raid on cardiff housetco3u9grogxvy,23,"""Just learned that a man has been charged with terrorism-related offenses in Cardiff. Frustrating and concerning situation. Hoping for a swift and fair resolution to this case.""",
"b""Ain't gonna lie, it's been a rough summer into a bad start to school again. Trying very hard to keep chugging along\xe2\x80\xa6 https://t.co/W5cZstdAeF""",aint gon na lie rough summer bad start school trying hard keep chugging along,aint gonna lie its been a rough summer into a bad start to school again trying very hard to keep chugging along,23,"""Starting the school year off slowly, but I'm determined to pick up the pace. Summer hasn't been easy, but I'm focused on moving forward.""",
