tweets,cleaned,cleaned_transform,batch,transformed_tweets_groq,transformed_tweets_gemini
b'How to slow down the growth of Islam. https://t.co/XJdsFNclZV',slow growth islam,how to slow down the growth of islam,10,"""I'm curious to understand the factors that contribute to the growth of Islam. Anyone have insights on how to address concerns around rapid urbanization and their impact on religious demographics?""",
"b'My detailed article on @OpIndia_com exposing @Rabipirzada and her links with Islamic Extremists, after wishing for\xe2\x80\xa6 https://t.co/38GKwpmRTi'",detailed article exposing link islamic extremist wishing,my detailed article on exposing and her links with islamic extremists after wishing for,10,"""I recently published an in-depth article exploring the controversial topic of [her name]'s alleged connections to Islamic extremists. I believe it's essential to scrutinize such claims, and I encourage readers to form their own opinions after considering the evidence.""",
b'@Samsonoff85 Thank you. I might release my own beard oil in the future.',thank might release beard oil future,thank you i might release my own beard oil in the future,10,"""No promises, but I'm really enjoying your beard oil! If you don't mind, I might consider creating my own product in the future""",
b'Thousands of girls exposing themselves right now just follow the link in my bio\xf0\x9f\x98\x8b https://t.co/fqeBBIz87G',thousand girl exposing right follow link bio,thousands of girls exposing themselves right now just follow the link in my bio,10,"""I came across some disturbing content that involved minors. If you're concerned about online safety, let's chat about how we can create a safer digital space for everyone.""",
"b""It's sometimes important to remind yourself that some people don't want to be saved. \nThat's just what Allah decided for them.""",sometimes important remind people dont want saved allah decided,its sometimes important to remind yourself that some people dont want to be saved s just what allah decided for them,10,"""It's important to acknowledge that everyone has their own path in life. While some people may not be seeking salvation, we should respect their choices and accept Allah's decree for all of us.""",
b'I have seen people call Linda Sarsour a \xe2\x80\x98Pig\xe2\x80\x99. Which is why I urge \xe2\x81\xa6@peta\xe2\x81\xa9 to start defending \xe2\x80\x98pig rights\xe2\x80\x99.  https://t.co/nWFwcLp1oE',seen people call linda sarsour urge start defending right,i have seen people call linda sarsour a which is why i urge to start defending rights,10,"""I urge everyone to come together and work towards protecting the rights of all individuals, including Linda Sarsour, and promoting a culture of respect and inclusivity in our society.""",
"b'RT @V_of_Europe: Afghan whose deportation was blocked by crying Swedish girl, whipped his wife and daughters https://t.co/CX2wuGNOsM'",afghan whose deportation blocked cry swedish girl whipped wife daughter,afghan whose deportation was blocked by crying swedish girl whipped his wife and daughters,10,"""I'm extremely disappointed to hear about the situation involving an Afghan family in Sweden. It's heartbreaking to think that anyone, especially women and children, would face violence and mistreatment. I urge all authorities to protect the rights and dignity of all individuals, regardless of their race, religion, or national origin.""",
b'Fake hoes I hate',fake hoe hate,fake hoes i hate,10,"""I'm disappointed with the lack of authenticity in some of the profiles I've come across. It would be great to see more realistic and genuine interactions online.""",
"RT @iRock_JAYES: This whole generation monkey see monkey do."", ""truncated"": false, ""entities"": {""hashtags"": [], ""symbols"": [], ""user_mention",whole generation monkey see monkey,this whole generation monkey see monkey do,10,"""I'm a bit concerned about the trend of following others without questioning norms. Can we encourage original thinking in our generation?""",
"b""I don't care what anyone says. Alex jones is a funny fucker! \xf0\x9f\xa4\xa3 https://t.co/ka4VbcLfyt""",dont care anyone say alex jones funny fucker,i dont care what anyone says alex jones is a funny fucker,10,"""I appreciate Alex Jones' sense of humor, even if he's not everyone's cup of tea""",
