tweets,cleaned,cleaned_transform,batch,transformed_tweets_groq,transformed_tweets_gemini
b'RT @claudiaaa_o3: DEADASS!! https://t.co/urilPEVK0L',deadass,deadass,7,"""Honestly, I was surprised by this""",
b'RT @StacyDonovan11: No one starts a weekend like the amazing @GiaDerza \xf0\x9f\x92\x97\xe2\x9c\xa8 #WetBouncingBooty #Lubed https://t.co/GDXnMU5h4e',one start weekend like amazing wetbouncingbooty lubed,no one starts a weekend like the amazing wetbouncingbooty lubed,7,"""Warmly kicking off the weekend with Wetbouncingbooty's impressive content - great energy and vibes all around!""",
"b'Trudeau is a Globalist puppet, of course he will deny whites!   What if they were Syrians? https://t.co/O0b4DwRJJq'",trudeau globalist puppet course deny white syrian,trudeau is a globalist puppet of course he will deny whites what if they were syrians,7,"""Interesting to see differing views on the topic. It's crucial to approach this discussion with respect and understanding. Can we focus on the substance rather than labels?""",
"b'Nigerian Migrants Wage Gang Wars with Axes and Machetes, Turn Italian Town into Battleground!  Too much \xe2\x80\x9cCultural D\xe2\x80\xa6 https://t.co/opXKxp4n1c'",nigerian migrant wage gang war ax machete turn italian town battleground much,nigerian migrants wage gang wars with axes and machetes turn italian town into battleground too much d,7,"""I'm concerned about the recent violence in the Italian town, allegedly involving Nigerians. It's devastating to see any community affected by gang conflicts and weapons. I hope authorities take strong action to ensure safety and stability return to the area.""",
b'@GuyVerhoftwat U on drugs ? \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',u drug,u on drugs,7,"""I'm concerned about your tweet and the message it's conveying. Can we have a respectful conversation about this topic?""",
b'RT @Conservatives: In Parliament Labour just opposed the legislation that will deliver up to an additional \xc2\xa3450 million investment in polic\xe2\x80\xa6',parliament labour opposed legislation deliver additional million investment polic,in parliament labour just opposed the legislation that will deliver up to an additional million investment in polic,7,"""Interestingly, Labour opposed a parliamentary bill that could bring in up to 1 million pounds of additional investment in policing. Would love to hear more about their reasoning behind this decision.""",
b'Lisa Page Tosses FBI Sweetheart Peter Strzok Under Bus \xe2\x80\x93 Tells Congress Their Text Messages \xe2\x80\x9cMean Exactly What They\xe2\x80\xa6 https://t.co/BbDWIVSGqz',lisa page toss fbi sweetheart peter strzok bus tell congress text message exactly,lisa page tosses fbi sweetheart peter strzok under bus tells congress their text messages exactly what they,7,"""Lisa Page addresses Peter Strzok's testimony before Congress, clarifying the context of their text messages and providing additional details for transparency.""",
b'@azadessa People much more powerful than you couldn\xe2\x80\x99t harm me. You will be exposed right back. Jihadi Journalist.',people much powerful harm exposed right back jihadi journalist,people much more powerful than you couldn harm me you will be exposed right back jihadi journalist,7,"""I'm concerned about the threats I've received and the aggressive tone used. As a journalist, I believe in upholding fundamental human rights and working towards peace and understanding. I urge everyone to engage in constructive dialogue and respect each other's views.""",
b'@lizziedearden Fucking bitch',fucking bitch,fucking bitch,7,"""I'm really disappointed with the service I received. The tone was unprofessional and made me feel unwelcome.""",
b'Children are being trafficked. Time to put the traffickers under the prisons. The leftist pedophiles are many and n\xe2\x80\xa6 https://t.co/QTTjHeePky',child trafficked time put trafficker prison leftist pedophile many n,children are being trafficked time to put the traffickers under the prisons the leftist pedophiles are many and n,7,"""Concerned about the alleged trafficking of children, I believe we need to prioritize efforts to hold perpetrators accountable and keep children safe. It's crucial we address this serious issue with compassion and understanding, without perpetuating harmful stereotypes or stigmatizing entire groups of people.""",
"b""Gosh, who would have thought that fundamental Islam wouldn't be compatible with LGBT?           #fo2eu  https://t.co/vAKNWY1Bup""",gosh would thought fundamental islam wouldnt compatible lgbt fo2eu,gosh who would have thought that fundamental islam wouldnt be compatible with lgbt fo2eu,7,"""Respectful dialogue is crucial. I'd appreciate understanding how Islam's philosophy can coexist with LGBTQ+ rights. Can we start a constructive conversation to explore possible commonalities?""",
b'Contrary to what Jesus said there has been absolutely no discussion of pardoning any of you.',contrary jesus said absolutely discussion pardoning,contrary to what jesus said there has been absolutely no discussion of pardoning any of you,7,"""I'd love to see more discussion on considering pardon options for all parties involved. It's essential to have dialogue and understanding before making any decisions.""",
"b'RT @Imamofpeace: I don\xe2\x80\x99t understand how feminists and the far-left can be in bed with the Muslim Brotherhood, and still call for gender neu\xe2\x80\xa6'",understand feminist farleft bed muslim brotherhood still call gender neu,i don understand how feminists and the farleft can be in bed with the muslim brotherhood and still call for gender neu,7,"""I've struggled to understand how some feminist and liberal groups have collaborated with certain Islamist organizations while advocating for gender equality. Can we have an open discussion about the complexities of this issue?""",
"b'RT @SheriffClarke: Ohr is full of crap. Why is he talking to Steele anyway other than to stop @realDonaldTrump. Did FBI use ""raw informatio\xe2\x80\xa6'",ohr full crap talking steele anyway stop fbi use raw informatio,ohr is full of crap why is he talking to steele anyway other than to stop did fbi use raw informatio,7,"""I'm curious about John Durham's investigation and would like to understand the connection between him and Steele. Were the FBI using unverified sources in their investigation?""",
"b'RT @HeshmatAlavi: Sign reads:\n\n""Urgent - Kidney for sale - Blood type O+ - Female, 23 years old""\n""For the love of God please don\'t tear thi\xe2\x80\xa6'",sign readsurgent kidney sale blood type female 23 year oldfor love god please dont tear thi,sign readsurgent kidney for sale blood type o female 23 years oldfor the love of god please dont tear thi,7,"""Important medical need: Urgent kidney transplant required for a 23-year-old female with blood type O. Any willing donors, please consider helping! #OrganDonation #KidneyTransplant""",
b'Your Tax Dollars at Work: US Gov Spends Nearly $1 Million on Cancer Treatments for Illegal Alien and Serial Rapist\xe2\x80\xa6 https://t.co/EJoaXDMU9Z',tax dollar work u gov spends nearly 1 million cancer treatment illegal alien serial rapist,your tax dollars at work us gov spends nearly 1 million on cancer treatments for illegal alien and serial rapist,7,"""I'm concerned about the allocation of tax funds. I'd like to see a breakdown of how funds are spent on healthcare for undocumented individuals, with a focus on ensuring that resources are being used effectively to benefit society as a whole.""",
