tweets,cleaned,cleaned_transform,batch,transformed_tweets_groq,transformed_tweets_gemini
"b'RT @RealCandaceO: You have to be a special kind of idiot to get arrested for \xe2\x80\x9cwomen\xe2\x80\x99s rights\xe2\x80\x9d alongside @lsarsour, an Islamist who supports\xe2\x80\xa6'",special kind idiot get arrested right alongside islamist support,you have to be a special kind of idiot to get arrested for rights alongside an islamist who supports,19,"""I'm disappointed that someone would get arrested for advancing their beliefs, regardless of their ideology. Can we find a way to peacefully express our views and respect others' rights?""",
b'The Landmark Monsanto Verdict May Not Have Been Possible Without Activism and Alternative Media https://t.co/TtR6I5KttM',landmark monsanto verdict may possible without activism alternative medium,the landmark monsanto verdict may not have been possible without activism and alternative media,19,"""Kudos to the activists and alternative media outlets who played a crucial role in raising awareness and building momentum for the landmark Monsanto verdict""",
"b""RT @Robfortrump2020: Who is going to vote for Donald Trump in 2020. let's get a high percentage of Voters on this one to really see please\xe2\x80\xa6""",going vote donald trump 2020 let get high percentage voter one really see please,who is going to vote for donald trump in 2020 lets get a high percentage of voters on this one to really see please,19,"""I'm curious to know who will be voting for Donald Trump in 2020 and what factors are driving their decision. Let's work together to increase voter turnout and make our voices heard!""",
"b'#TRUDEAU \xe2\x80\x98S Canada - Terror in Toronto: Muslim terrorist opens fire into a restaurant leaving 1 killed, 13 injured.\xe2\x80\xa6 https://t.co/rER8hgdgcb'",trudeau canada terror toronto muslim terrorist open fire restaurant leaving 1 killed 13 injured,trudeau canada terror in toronto muslim terrorist opens fire into a restaurant leaving 1 killed 13 injured,19,"""I'm shocked and saddened to hear about the tragic events in Toronto. My thoughts are with the families of the victim and those affected by the shooting. Incidents like these highlight the importance of promoting peace, understanding, and inclusivity. Let's work together to build a safer and more compassionate society for all.""",
b'\xe2\x80\x98Shots fired and at least one injured\xe2\x80\x99 at San Francisco school https://t.co/REf2ELEtxe',fired least one injured san francisco school,fired and at least one injured at san francisco school,19,"""I'm saddened to report a disturbing incident at a San Francisco school, where a staff member was terminated and at least one person was injured. I hope for a swift and thorough investigation.""",
"b""Theresa May put token Brexiteers in place to fool the public undermining their work with a remain Chequer's paper -\xe2\x80\xa6 https://t.co/C4aamO86W0""",theresa may put token brexiteers place fool public undermining work remain chequer paper,theresa may put token brexiteers in place to fool the public undermining their work with a remain chequers paper,19,"""It's interesting that Theresa May may be considering a Chequers-style agreement for brexiteers to gain public support, potentially eclipsing the original deal's intentions. I'd love to see a clear commitment to the original Leave vision being upheld throughout the process.""",
b'@Samsonoff85 Thank you. I might release my own beard oil in the future.',thank might release beard oil future,thank you i might release my own beard oil in the future,19,"I appreciate your product, and who knows, maybe I'll even create my own beard oil line one day!",
"Talking to my dog,\""nigga if you don't get yo monkey ass in this house and leave them alone\""\nAs a result; he'll come\u2026 https://t.co/uP",talking dognigga dont get yo monkey as house leave alone result hell come,talking to my dognigga if you dont get yo monkey ass in this house and leave them alone a result hell come,19,"""I'd appreciate it if you could spend more time with me and less time bothering my dogs. Let's find a way to work together and respect each other's personal space.""",
b'Happy Eid to our Muslim friends celebrating around the world. https://t.co/0F3MTrGhzE',happy eid muslim friend celebrating around world,happy eid to our muslim friends celebrating around the world,19,"""Wishing a joyous Eid to all our friends and community members celebrating this special occasion around the world""",
b'RT @V_of_Europe: The resistance against Islamisation is growing every day in Europe. This was Belgium today https://t.co/xa1CluIDYK',resistance islamisation growing every day europe belgium today,the resistance against islamisation is growing every day in europe this was belgium today,19,"""It's concerning to see anti-Muslim sentiment and xenophobia on the rise in Europe. Today's protest in Belgium suggests a growing divide, and it's crucial we address these issues with empathy and understanding""",
